name,description,url,image
hoc,Bar stool 9101,/en/products/hoc-bar-stool/?variant=9101,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63394_lm_product_grid_0002_hoc_9101_Eiche_XL.jpg.webp?itok=oZG8g0P2
pads,Lounge chair 1420-0110,/en/products/pads-lounge-stool/?variant=1420-0110,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/images/1420-0110-110358_brunner_pads_1420-0110_im_product_grid_xl.jpg.webp?itok=Ue3bWhjR
crona light lounge,Armchair 6356,/en/products/crona-light-lounge-armchair/?variant=6356,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/91726_lm_product_grid_crona_light_lounge_6356_XL.jpg.webp?itok=_tVyp1AX
A-Lounge,Chair 9743,/en/products/a-lounge-chair/?variant=9743,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/70220_lm_product_grid_0000_A_Lounge_9743_XL.jpg.webp?itok=UtMR60XK
ray soft lounge,Easy chair 9652,/en/products/ray-soft-lounge-easy-chair/?variant=9652,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/104882_Brunner_lm_product_grid_ray_soft_lounge_9652_XL.jpg.webp?itok=hlmc5_3s
ray lounge,Seating 9241,/en/products/ray-lounge-seating/?variant=9241,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63471_lm_product_grid_0003_ray_lounge_9241_2947_XL.jpg.webp?itok=wgdzRxrR
oval,Bench 1502-0210,/en/products/oval-bench/?variant=1502-0210,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/105041_Brunner_lm_product_grid_oval_1502-0210_XL.jpg.webp?itok=ydL_I-Cq
pads,Stool 1402-0000,/en/products/pads-stool-0/?variant=1402-0000,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/91183_lm_product_grid_pads_Konfiguration_1402-0000_XL.jpg.webp?itok=lotR_9GJ
banc,Cabin  BC-3200,/en/products/banc-cabin/?variant=BC-3200,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/64074_lm_product_grid_0007_banc_BC3200_XL.jpg.webp?itok=N1L7SbRx
artemo,Lounge furniture  9932,/en/products/artemo-lounge-furniture/?variant=9932,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/62096_lm_product_grid_0001_artemo_9932A_XL.jpg.webp?itok=amkwieOr
banc,système lounge BC-H70,/en/products/banc-système-lounge/?variant=BC-H70,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/72181_lm_product_grid_0012_BCH70_mitGestell_XL.jpg.webp?itok=7u6zXHoH
boards,Stool BO200,/en/products/boards-stool/?variant=BO200,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/104888_Brunner_lm_product_grid_boards_BO200_XL.jpg.webp?itok=lGZRfvXj
buena nova,stacking chair  326,/en/products/buena-nova-stacking-chair/?variant=326,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63191_lm_product_grid_0010_buena_nova_326B_XL.jpg.webp?itok=MiLf0rBX
buena nova,high-back chair 340,/en/products/buena-nova-high-back-chair/?variant=340,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63187_lm_product_grid_0006_buena_nova_340AB_XL.jpg.webp?itok=3Jspr_1k
buena nova,reclining chair  356,/en/products/buena-nova-reclining-chair/?variant=356,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63184_lm_product_grid_0003_buena_nova_356V_XL.jpg.webp?itok=z8fdq6fk
cellular,Lounge chair CE-0100,/en/products/cellular-lounge-chair/?variant=CE-0100,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/64079_lm_product_grid_0004_cellular_CE0100_XL.jpg.webp?itok=jvapgFh5
cellular,Sofa  CE-2300,/en/products/cellular-sofa/?variant=CE-2300,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/68376_lm_product_grid_0007_cellular_CE2300_XL.jpg.webp?itok=sybYT3N3
crona,Chair 6375,/en/products/crona-chair/?variant=6375,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63204_lm_product_grid_0001_crona_6375_XL.jpg.webp?itok=jiE1we8n
crona bar,bar stool 6379,/en/products/crona-bar-bar-stool/?variant=6379,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63213_lm_product_grid_0000_crona_bar_6379_XL.jpg.webp?itok=81v5in1F
crona light,Chair 6306,/en/products/crona-light-chair/?variant=6306,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63221_lm_product_grid_0004_Ebene%201_XL.jpg.webp?itok=2VSmPvRZ
crona light bar,Bar stool  6308,/en/products/crona-light-bar-bar-stool/?variant=6308,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63225_lm_product_grid_0002_crona_light_bar_6308_XL.jpg.webp?itok=GAB0abyU
crona light lounge,Sessel 6357,/en/products/crona-light-lounge-armchair/?variant=6357,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/90343_lm_product_grid_crona_light_lounge_XL.jpg.webp?itok=pj3FugAa
crona lounge,armchair 6387,/en/products/crona-lounge-armchair/?variant=6387,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63232_lm_product_grid_0006_crona_lounge_6387A_XL.jpg.webp?itok=u8Ey6FPr
crona lounge,Sofa 6388,/en/products/crona-lounge-sofa/?variant=6388,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63230_lm_product_grid_0004_crona_lounge_6388A_XL.jpg.webp?itok=jJpLSPLs
crona steel,Bar tool 6341,/en/products/crona-steel-bar-tool/?variant=6341,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/84395_lm_product_grid_crona_steel_6341_XL.jpg.webp?itok=Pvp-91Bz
crona up,Upholstered chair 6321,/en/products/crona-up-upholstered-chair/?variant=6321,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/90360_lm_product_grid_crona_up_6321_XL.jpg.webp?itok=dHd8EVLR
dress,Standing aid  7001,/en/products/dress-standing-aid/?variant=7001,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63243_lm_product_grid_0000_dress_7001_hoehenverstellbar_XL.jpg.webp?itok=7zTKIl3s
due,bar stool  3801,/en/products/due-bar-stool/?variant=3801,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63265_lm_product_grid_0005_due_3801_XL.jpg.webp?itok=RBXa55hM
due,Bistro chair 3808,/en/products/due-bistro-chair/?variant=3808,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63264_lm_product_grid_0004_due_3808_XL.jpg.webp?itok=uvawaQ58
feel,Stacking chair 8640,/en/products/feel-stacking-chair/?variant=8640,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/104895_Brunner_lm_product_grid_feel_8640_XL.jpg.webp?itok=DrsI1YrZ
feel,Recliner chair 8656,/en/products/feel-armchair/?variant=8656,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/104897_Brunner_lm_product_grid_feel_8656_XL.jpg.webp?itok=YumIQ1zK
fina,Wooden shell chair 6408,/en/products/fina-wooden-shell-chair-0/?variant=6408,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63266_lm_product_grid_0000_fina_6408_Eiche_XL.jpg.webp?itok=_kRqDbOe
fina bar,bar stool 6401,/en/products/fina-bar-bar-stool/?variant=6401,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63281_lm_product_grid_0001_fina_bar_6401_XL.jpg.webp?itok=cDTm_RhW
fina club,Armchair 6861,/en/products/fina-club-armchair/?variant=6861,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63288_lm_product_grid_0002_fina_club_6861A_XL.jpg.webp?itok=VqYhI9om
fina lounge,Armchair 6742,/en/products/fina-lounge-armchair/?variant=6742,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63297_lm_product_grid_0005_finalounge_6742_XL.jpg.webp?itok=0UWXH9GZ
fina soft,chair with medium height back 6722,/en/products/fina-soft-chair-with-medium-height-back/?variant=6722,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63319_lm_product_grid_0014_fina_soft_6722_rollen_XL.jpg.webp?itok=-ddfpqmN
fina soft,High-back chair 6732,/en/products/fina-soft-high-back-chair/?variant=6732,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63313_lm_product_grid_0008_fina_soft_6732_XL.jpg.webp?itok=6n50j2Js
fina wood,chair with medium height back 6822,/en/products/fina-wood-chair-with-medium-height-back/?variant=6822,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/68133_lm_product_grid_XXXX_Fina_Wood_6822_Eiche_Remix2_weiss_RGB_XL.jpg.webp?itok=PKJUn6qc
first class,stacking chair 4502,/en/products/first-class-stacking-chair/?variant=4502,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63328_lm_product_grid_0001_first_class_4502_XL.jpg.webp?itok=D3e5OXVs
first line,Stacking chair 4506,/en/products/first-line-stacking-chair/?variant=4506,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63330_lm_product_grid_0001_first_line_4506A_XL.jpg.webp?itok=sNylsqn3
first place,Stacking chair 4525,/en/products/first-place-stacking-chair/?variant=4525,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/90330_lm_product_grid_first_place_4525_ohne_Schatten_XL.jpg.webp?itok=iuWPwYGz
fox,Bar stool 1011,/en/products/fox-bar-bar-stool/?variant=1011,https://live-brunner.pantheonsite.io/sites/default/files/styles/sm/public/oldImages/63363_lm_product_grid_0014_fox_1011_front_Buche_XL.jpg.webp?itok=atTS0FqO
